,Number of Users,Number of months in operation,Company Type,Number of Founders,Revenue,Monthly User Growth,Customer Retention Rate,Profit Margin,Customer Aquisition Cost,Monthly Unit Churn,Monthly Burn Rate,Major Rival,Number of News Articles,Number of Founded Organizations,Number of Portfolio Companies,Number of Investments_x,Number of Partner Investments,Number of Lead Investments_x,Number of Exits_x,Number of Events_x,Success
0,14445,12,1,4,7130.890536698031,130.73089567046281,89.75193371221083,25.849049919427692,8.802067167862022,7.639201024258245,2.0620509059586114,0.0,14445,7,11,21,0,9,6,2,1
1,100,12,1,4,6904.105089248271,66.92171259804806,47.882800298189466,-7.5106072415359915,6.373854115917168,3.1732885347849193,7.029517240640333,1.0,100,2,1,1,0,0,0,1,1
2,19678,11,1,5,11529.622172775318,158.98773237591342,56.36750866301769,16.227639847124212,1.2926681281642427,6.534527864358669,7.0975881778815975,0.0,19678,10,6,7,0,0,0,5,1
3,128,9,1,2,9321.533079407665,175.6944342914078,81.89131519483402,2.53281230521592,8.548580651639746,6.365362956158299,3.5423278757556935,0.0,128,1,6,7,0,0,1,5,1
4,861,2,0,3,5011.853850673876,94.57462760312153,86.56039484952666,12.014061541038501,0.11531300035067638,7.398057508217318,1.8870551245545113,1.0,861,1,0,0,0,0,0,0,1
5,15,2,0,3,10613.117933626942,24.723590757509577,72.01442018775721,-5.927399396139514,5.015760510058192,5.1565864347262,2.0238439374526185,1.0,15,3,1,1,0,0,0,1,1
6,1,2,0,3,12693.325057883112,31.467750647172284,57.934397964487275,5.861602993054248,4.073846585182128,7.027907014239013,5.975561040699747,1.0,1,1,0,0,0,0,0,0,1
7,1569,5,1,2,9790.643058815036,133.15875282911708,44.27040646768609,-8.30247139969892,7.703217092136246,8.60370971129311,3.5487889087644136,0.0,1569,2,5,6,0,0,0,7,1
8,310,5,1,2,10061.562977780466,73.48374897453408,82.53831469161793,-1.6006010156989792,8.437596035862997,2.625848363964936,1.787494916837129,0.0,310,1,2,2,0,0,0,4,1
9,3669,16,1,2,5391.267753262351,120.45265886413023,34.9331759773503,-0.1866211618173086,4.56604668089431,3.4978548345469247,7.187017986552167,0.0,3669,1,73,101,0,3,17,19,1
10,29,16,1,2,13521.303802527056,150.23021203672351,50.719837983454696,-8.298406458700152,0.7840065919537698,4.68131035266922,6.191944046296756,0.0,29,2,1,1,0,0,1,3,1
11,107,16,1,2,11481.313155787404,121.15685227052901,31.461238855294383,24.6274319591651,8.342881480438942,8.178798227656866,3.916583113370893,1.0,107,1,1,2,0,0,1,2,1
12,2237,16,1,2,11316.504963384956,24.593673435664805,34.754594038263875,-1.925343021558593,3.643578311826391,3.478926161317822,7.514337370636131,1.0,2237,4,1,1,2,1,1,0,1
13,5,16,1,2,5172.937833311414,59.62591974858681,42.64869731818913,6.80536924926632,2.7036378611717438,5.619860906563333,5.824274585456486,1.0,5,1,1,1,0,0,0,0,1
14,90,16,1,2,14591.120162106756,67.49797668490172,76.84476186191574,20.342643006979447,2.115943078475148,6.286165129024374,5.888436118171471,1.0,90,1,0,0,0,0,0,0,1
15,575,7,1,1,7951.051766078094,180.7207929840387,85.51299590405524,18.203424575392173,7.543475008600523,4.814528321797132,7.863307780472788,0.0,575,1,1,1,0,0,0,1,1
16,0,1,1,3,9826.404084594757,70.53479013267975,55.63800401691876,9.012267954064473,9.568024537243385,3.528490148084663,3.2748515477528364,0.0,0,1,21,20,0,0,2,0,1
17,48,1,1,3,5091.3491985888,131.2994028824747,53.41557410354611,9.855568080951219,5.065635673253337,6.921399499299248,5.319047665621126,0.0,48,1,3,3,0,0,2,0,1
18,451,1,1,1,6561.39932087007,163.87240460570962,89.2767992934182,28.27819496322077,9.434415673037485,4.205942072861576,2.6236282533957644,0.0,451,1,2,3,0,0,1,2,1
19,1330,-1,1,1,71712.89626308925,63.94734013346388,27.724599833684874,21.66451739673665,3.261081246669624,12.182235359653127,10.440556257296892,1.0,1330,3,1,1,0,0,0,12,0
20,436,15,0,1,5141.291680889404,90.05098501497135,48.51194528735229,9.126939972164848,7.684393095895468,6.462378718330646,7.6126044727487026,0.0,436,1,0,0,0,0,0,0,1
21,234,2,1,5,8308.98726860927,67.82539643542749,27.923753571674442,5.883402470445532,6.768515023146616,19.272053036624314,3.6743303295197727,0.0,234,1,3,3,0,0,0,0,0
22,0,2,1,5,92795.1858663156,30.74214752796664,47.91233873512005,-19.317146360980928,4.019526601659607,18.497386082400453,7.8225131571617545,0.0,0,3,0,0,0,0,0,0,0
23,2,2,1,5,22677.340927777022,22.260471263512265,15.287495818880654,-14.327600645058407,8.4191692053064,6.664519728114114,7.970633024208569,0.0,2,2,2,2,0,0,1,0,0
24,17,2,1,5,79627.26532626664,59.553171063946714,20.46515205447754,-17.635545271127654,3.554001763868786,17.821150912975845,9.478372697027329,1.0,17,1,0,0,0,0,0,0,0
25,271,2,1,1,16590.44428236469,30.33615532899162,49.48732851547745,2.1489748903541397,7.0268720835090575,4.892886077283439,8.373559204174512,1.0,271,1,0,0,0,0,0,0,0
26,2764,18,1,3,6764.246719959455,33.29164351800485,89.91618700263896,20.51516571297868,9.977623968194901,6.650176685775992,6.70095368283778,1.0,2764,2,2,3,0,3,1,6,1
27,723,5,1,3,14371.60149191858,79.3352250787789,71.66671603969576,9.48361861760748,8.933921827641027,7.037929152857899,2.683034814677182,0.0,723,6,98,112,1,7,37,12,1
28,1155,1,1,1,17839.918411493672,18.969428695590985,50.92283723405868,-18.170036844762404,4.002591996246478,10.80424957275073,3.7179569787666833,0.0,1155,2,1,1,0,0,0,0,0
29,581,4,1,4,8793.942284961835,151.43573333376878,48.55749928654042,6.4755671016927785,8.61747087457678,2.105314253800288,1.221594174180786,0.0,581,1,3,3,0,0,0,8,1
30,146,4,1,4,69976.86733859204,56.26687713897434,22.446146374358793,11.615406538826768,11.171861170665471,14.087793262780112,9.416138106893817,0.0,146,6,22,23,0,0,7,4,0
31,6,4,1,4,7770.200483476299,27.30084292124956,63.71331573546526,-7.40406070472611,0.3780771282065498,5.888508189277923,4.352829673514668,0.0,6,1,0,0,0,0,0,1,1
32,11,4,1,4,9594.25776594542,101.43339189451638,56.96673663290031,3.659768009609934,0.32521119186898817,4.288420489543233,7.5588725495852325,0.0,11,1,0,0,0,0,0,2,1
33,816,6,1,4,10994.076874371782,180.90464994645498,80.43857926450448,-1.7493709235861523,7.5114404313847905,5.689213900623237,1.5847245830740893,0.0,816,2,11,12,0,0,3,13,1
34,77,6,1,4,6630.2516740117935,195.7602908508983,68.9491839919194,2.6526632224823175,0.13568584612746015,7.520996492758015,1.9165639759041349,0.0,77,1,0,0,0,0,0,2,1
35,17,6,1,4,10366.19634528692,52.05864634187625,71.89471676458632,8.847802422211295,2.438523896788396,8.617243800358132,2.7991330338300893,1.0,17,1,0,0,0,0,0,0,1
36,23,6,1,4,11484.877141688052,79.33525676877365,75.97689390831808,15.657728836870763,4.0730687262561585,5.209397311844564,4.765430610639502,0.0,23,1,0,0,0,0,0,0,1
37,1196,8,1,2,10733.356298046094,42.84435526010401,73.97207765417065,14.715521424475895,8.862816982045437,3.7874147418628903,6.557260021152457,0.0,1196,7,13,14,9,3,3,1,1
38,25,5,1,2,5760.368454822038,82.01402100052603,53.633956548247944,5.294973340618792,0.48942100555654067,4.45333793262535,1.0623575930263662,0.0,25,2,0,0,0,0,0,0,1
39,8,5,1,2,13324.330846547335,61.491673013458254,73.79511071378333,-4.4892648096597965,4.787677911083847,2.2221125877910777,6.141575327285793,0.0,8,2,0,0,0,0,0,0,1
40,23,2,1,4,5535.362148292581,68.80802618538576,50.87841330422448,0.5016214297444357,3.963992219754756,8.228177299247585,7.970827793115765,0.0,23,1,3,5,0,0,0,3,1
41,9,2,1,4,8189.651065787287,29.83463020029143,44.212997775048116,7.442176299079453,1.2210890986281986,2.6694151995564255,6.144222131986098,1.0,9,1,0,0,0,0,0,1,1
42,1,2,1,4,8882.613539417805,32.185227836761925,48.78226189343907,19.014520229189618,7.944394394101913,5.698311207326864,3.1413194273264793,0.0,1,1,0,0,0,0,0,0,1
43,380,2015,1,4,15618.371641376638,52.5834009331231,19.55241542224456,25.65829491719309,9.805576497885722,3.4417122735269925,3.446412731501245,1.0,380,7,29,32,0,0,4,19,0
44,434,0,1,1,10104.032136136779,116.31116147133376,80.0608382865762,18.01478860682261,8.010390028458156,3.283266871679821,2.220752512674087,1.0,434,9,3,4,103,0,1,0,1
45,429,3,1,4,33046.68816798786,49.484003181805036,56.1820809221817,18.133773701008785,8.225890509951551,7.553847191765647,4.01998768446172,0.0,429,1,0,0,0,0,0,0,0
46,0,3,1,4,60012.11383621938,3.216289080660122,4.78742073828657,18.08489442408259,7.194354748077344,5.7965026694042745,7.363920382378,0.0,0,1,0,0,0,0,0,0,0
47,3,3,1,4,45689.17667386145,15.352408758963321,20.330561960173355,20.61670050103416,6.325547191042836,4.999105324801899,3.656146574075566,0.0,3,1,0,0,0,0,0,0,0
